iter	RMSE
0	3925.561629
1	3815.428854
2	3709.600422
3	3608.284048
4	3507.425944
5	3409.874908
6	3316.294525
7	3223.850496
8	3134.716992
9	3048.503995
10	2966.085063
11	2885.329807
12	2807.272449
13	2730.98873
14	2656.80035
15	2585.664791
16	2517.27508
17	2449.948531
18	2386.087462
19	2323.945108
20	2263.952348
21	2205.165512
22	2148.498933
23	2093.325637
24	2039.43859
25	1987.624642
26	1937.918316
27	1889.436537
28	1842.083223
29	1797.227539
30	1753.491339
31	1711.070507
32	1669.471374
33	1629.381992
34	1590.871368
35	1553.817313
36	1518.318873
37	1483.601147
38	1450.319582
39	1417.185218
40	1385.953172
41	1355.405681
42	1326.579277
43	1297.946325
44	1270.57424
45	1244.101723
46	1218.570121
47	1193.428019
48	1169.237561
49	1146.415849
50	1124.500515
51	1102.965807
52	1082.743979
53	1062.684787
54	1043.623613
55	1025.451815
56	1008.234662
57	991.0836393
58	974.3018746
59	959.1975213
60	944.0769965
61	929.1881849
62	915.4740137
63	901.7145251
64	888.99411
65	876.2703138
66	864.3370234
67	853.1608563
68	841.7065397
69	830.7338789
70	820.3402479
71	810.643684
72	801.4704716
73	792.5123266
74	783.9261114
75	775.5222333
76	767.5238719
77	760.0832829
78	752.6480111
79	745.8889818
80	739.1563141
81	732.7931918
82	726.674245
83	720.8565668
84	715.2777821
85	709.9520726
86	704.813002
87	699.8164992
88	695.0504669
89	690.5277029
90	686.0272806
91	681.9865235
92	678.0845616
93	674.2687803
94	670.6617876
95	667.3575912
96	664.0420895
97	660.7582259
98	657.574609
99	654.6934003
100	651.8696117
101	649.285583
102	646.6297895
103	644.1711907
104	641.6144572
105	639.3239077
106	637.1246433
107	635.0437907
108	633.0143045
109	631.0406519
110	629.1614071
111	627.4246086
112	625.6236551
113	623.9644372
114	622.3427256
115	620.8070838
116	619.474819
117	618.0798109
118	616.6835832
119	615.4375434
120	614.1208761
121	612.8947834
122	611.6569437
123	610.6062257
124	609.5195093
125	608.4964792
126	607.526704
127	606.510285
128	605.6348942
129	604.7236526
130	603.781774
131	602.9316593
132	602.0989431
133	601.3503449
134	600.6039729
135	599.8930524
136	599.2254656
137	598.5912219
138	597.9442426
139	597.2905256
140	596.6553148
141	596.0746609
142	595.5345724
143	595.0118644
144	594.490708
145	593.9240309
146	593.4054865
147	592.8702804
148	592.4099989
149	591.9461619
150	591.5143056
151	591.0469293
152	590.6675304
153	590.2907788
154	589.8768483
155	589.5386781
156	589.1421246
157	588.7321725
158	588.3711104
159	588.0214383
160	587.7407608
161	587.357445
162	587.1049461
163	586.7266852
164	586.4047426
165	586.1104069
166	585.80163
167	585.5486765
168	585.2793351
169	585.0536467
170	584.7318354
171	584.4819836
172	584.266054
173	584.0503455
174	583.8078217
175	583.5587295
176	583.357524
177	583.1599444
178	582.9022051
179	582.6857392
180	582.4329038
181	582.2190246
182	582.0192651
183	581.8634681
184	581.7083938
185	581.5108992
186	581.3037088
187	581.1083893
188	580.9559605
189	580.7262592
190	580.4805703
191	580.319274
192	580.1526518
193	580.0217084
194	579.8864212
195	579.7323583
196	579.5916625
197	579.401771
198	579.2497374
199	579.1110235
200	578.9892836
201	578.8439405
202	578.6940965
203	578.5520969
204	578.4438881
205	578.3178729
206	578.1444541
207	577.9473074
208	577.8358464
209	577.7434184
210	577.6339473
211	577.4784371
212	577.3644764
213	577.2131652
214	577.0648786
215	576.9582125
216	576.8276683
217	576.6956603
218	576.583283
219	576.4562222
220	576.3498646
221	576.2549259
222	576.1484821
223	576.05784
224	575.9717164
225	575.8179409
226	575.7449696
227	575.6432117
228	575.4688574
229	575.3715331
230	575.3037781
231	575.1947705
232	575.0534077
233	574.9903907
234	574.8813533
235	574.7774292
236	574.6664979
237	574.5776943
238	574.5264671
239	574.449864
240	574.3145673
241	574.2168303
242	574.1042908
243	574.0376841
244	573.9720636
245	573.8731786
246	573.7465581
247	573.6933717
248	573.6061068
249	573.5121331
250	573.4171943
251	573.3034518
252	573.2414426
253	573.1304983
254	573.0109632
255	572.9404674
256	572.8354966
257	572.7693934
258	572.6499906
259	572.5487655
260	572.4720895
261	572.382808
262	572.314715
263	572.2467138
264	572.1800192
265	572.0999823
266	572.0400849
267	571.9634672
268	571.8648084
269	571.8210337
270	571.7705616
271	571.6684328
272	571.5619568
273	571.4873678
274	571.4263914
275	571.3477314
276	571.2775091
277	571.2124214
278	571.1349391
279	571.0820139
280	570.9919923
281	570.9453277
282	570.9035366
283	570.7855904
284	570.6922387
285	570.6242745
286	570.567018
287	570.5060736
288	570.4598476
289	570.3315052
290	570.2937434
291	570.2510065
292	570.1883034
293	570.1373767
294	570.0371948
295	570.0023876
296	569.925509
297	569.8797634
298	569.7907186
299	569.7243654
300	569.6435839
301	569.5776802
302	569.5105134
303	569.4652402
304	569.4250453
305	569.3561105
306	569.2708799
307	569.2182004
308	569.1522517
309	569.0794772
310	569.0441688
311	568.9480456
312	568.9087224
313	568.8486261
314	568.7922402
315	568.7425128
316	568.6721003
317	568.6182682
318	568.5397539
319	568.4839215
320	568.4397601
321	568.337333
322	568.2966856
323	568.2294571
324	568.1734648
325	568.0952918
326	568.0191686
327	567.9680673
328	567.9383661
329	567.8843943
330	567.8004787
331	567.6936628
332	567.6629986
333	567.6162423
334	567.5518672
335	567.504545
336	567.418958
337	567.3248876
338	567.2534551
339	567.179833
340	567.1124223
341	567.0685084
342	567.0068142
343	566.9446597
344	566.9020128
345	566.8353772
346	566.7634593
347	566.7023394
348	566.6600076
349	566.6149944
350	566.5525451
351	566.4754933
352	566.4004868
353	566.3621103
354	566.318608
355	566.2685227
356	566.2318639
357	566.1835573
358	566.1314961
359	566.0837247
360	566.0329851
361	565.9885899
362	565.9398511
363	565.8812616
364	565.8569556
365	565.8191567
366	565.7637837
367	565.7386791
368	565.6830889
369	565.6439355
370	565.5889896
371	565.5097655
372	565.4804395
373	565.4372547
374	565.3862864
375	565.3565138
376	565.2876841
377	565.2461918
378	565.1971315
379	565.118655
380	565.0769996
381	565.0278772
382	565.003254
383	564.9564212
384	564.8970266
385	564.8607668
386	564.8049401
387	564.7438412
388	564.6455115
389	564.5325592
390	564.5037215
391	564.4253679
392	564.3832856
393	564.3381516
394	564.2682945
395	564.2305577
396	564.1569859
397	564.133763
398	564.0315792
399	563.9681275
400	563.9344459
401	563.8825101
402	563.8546328
403	563.8068575
404	563.7550037
405	563.7093081
406	563.6649769
407	563.6137347
408	563.5874393
409	563.5720417
410	563.4941376
411	563.4381737
412	563.3866017
413	563.3474509
414	563.3037199
415	563.2763698
416	563.2384381
417	563.1777981
418	563.1024667
419	563.0567845
420	563.0205191
421	562.9524323
422	562.9002932
423	562.8593068
424	562.8011317
425	562.7666742
426	562.7345772
427	562.7167398
428	562.680901
429	562.6298723
430	562.5748082
431	562.5308641
432	562.4883733
433	562.4667721
434	562.4223898
435	562.3991326
436	562.3803931
437	562.3547712
438	562.3200093
439	562.2775656
440	562.2335976
441	562.2178428
442	562.1819991
443	562.1334955
444	562.0708918
445	562.0143621
446	561.9749251
447	561.926831
448	561.8527962
449	561.8068602
450	561.7584072
451	561.7367004
452	561.6821126
453	561.6472477
454	561.5974348
455	561.5460152
456	561.4916092
457	561.4615486
458	561.4260955
459	561.3885649
460	561.3560341
461	561.313842
462	561.2310674
463	561.1788237
464	561.0996941
465	561.0595521
466	561.0500325
467	561.0014794
468	560.9532369
469	560.8828457
470	560.8249799
471	560.7764851
472	560.7299367
473	560.7015756
474	560.6793653
475	560.6451493
476	560.6110161
477	560.5682931
478	560.5422901
479	560.5066862
480	560.4611013
481	560.3862182
482	560.3699879
483	560.3312274
484	560.3110098
485	560.2957975
486	560.2658724
487	560.2332656
488	560.1906403
489	560.14513
490	560.0954039
491	560.047059
492	560.0045893
493	559.94757
494	559.9371933
495	559.8937423
496	559.8574581
497	559.8164877
498	559.7764999
499	559.7391575
