iter	Passed	Remaining
0	70	35204
1	82	20491
2	92	15386
3	104	12932
4	116	11565
5	130	10721
6	146	10320
7	162	9985
8	178	9746
9	196	9639
10	215	9599
11	239	9724
12	265	9933
13	302	10515
14	387	12529
15	435	13162
16	468	13303
17	501	13425
18	529	13412
19	557	13385
20	589	13445
21	618	13433
22	644	13368
23	668	13257
24	689	13102
25	710	12959
26	734	12870
27	756	12756
28	782	12714
29	809	12684
30	833	12614
31	858	12552
32	881	12470
33	905	12414
34	929	12353
35	953	12283
36	978	12243
37	1010	12286
38	1040	12300
39	1067	12273
40	1100	12324
41	1129	12320
42	1154	12267
43	1179	12226
44	1203	12166
45	1228	12123
46	1253	12081
47	1276	12021
48	1299	11958
49	1322	11902
50	1344	11838
51	1369	11796
52	1390	11725
53	1408	11634
54	1430	11573
55	1457	11553
56	1487	11558
57	1513	11535
58	1535	11477
59	1559	11432
60	1583	11397
61	1606	11349
62	1629	11305
63	1654	11271
64	1678	11232
65	1703	11199
66	1726	11157
67	1748	11107
68	1774	11084
69	1800	11062
70	1836	11094
71	1867	11100
72	1891	11061
73	1917	11039
74	1940	10998
75	1967	10975
76	1992	10948
77	2017	10913
78	2041	10880
79	2065	10841
80	2094	10835
81	2124	10828
82	2147	10790
83	2171	10754
84	2202	10754
85	2226	10716
86	2251	10688
87	2275	10652
88	2301	10626
89	2326	10597
90	2351	10567
91	2373	10527
92	2397	10494
93	2420	10455
94	2444	10420
95	2469	10392
96	2497	10377
97	2522	10347
98	2583	10462
99	2610	10442
100	2632	10397
101	2655	10362
102	2676	10317
103	2697	10272
104	2720	10235
105	2762	10269
106	2799	10282
107	2818	10229
108	2836	10174
109	2853	10118
110	2871	10063
111	2892	10020
112	2914	9980
113	2936	9942
114	2957	9900
115	2978	9859
116	3000	9823
117	3021	9781
118	3068	9823
119	3095	9802
120	3123	9782
121	3154	9772
122	3180	9748
123	3209	9732
124	3235	9705
125	3265	9692
126	3292	9670
127	3315	9637
128	3347	9627
129	3372	9598
130	3399	9576
131	3428	9558
132	3455	9533
133	3496	9549
134	3526	9534
135	3554	9514
136	3581	9489
137	3615	9483
138	3647	9473
139	3678	9459
140	3703	9428
141	3725	9393
142	3748	9357
143	3771	9324
144	3792	9285
145	3818	9259
146	3843	9230
147	3866	9196
148	3893	9170
149	3915	9136
150	3938	9103
151	3959	9065
152	3983	9034
153	4004	8997
154	4028	8967
155	4061	8955
156	4107	8973
157	4132	8944
158	4163	8928
159	4189	8903
160	4221	8887
161	4272	8913
162	4318	8927
163	4348	8909
164	4381	8896
165	4409	8871
166	4436	8846
167	4464	8823
168	4496	8806
169	4528	8790
170	4549	8753
171	4579	8732
172	4616	8726
173	4651	8714
174	4673	8679
175	4697	8648
176	4715	8604
177	4734	8564
178	4754	8526
179	4778	8494
180	4801	8462
181	4825	8431
182	4846	8395
183	4874	8372
184	4897	8338
185	4920	8307
186	4950	8285
187	4979	8264
188	5006	8238
189	5031	8208
190	5062	8189
191	5095	8174
192	5123	8149
193	5148	8120
194	5172	8090
195	5196	8059
196	5218	8026
197	5252	8011
198	5275	7978
199	5298	7948
200	5322	7918
201	5344	7884
202	5366	7852
203	5388	7818
204	5412	7788
205	5441	7765
206	5468	7740
207	5488	7704
208	5511	7673
209	5535	7643
210	5556	7610
211	5579	7580
212	5602	7548
213	5621	7512
214	5645	7483
215	5668	7453
216	5692	7424
217	5716	7395
218	5740	7365
219	5769	7343
220	5795	7316
221	5823	7291
222	5846	7261
223	5865	7227
224	5887	7195
225	5910	7165
226	5931	7133
227	5952	7100
228	5973	7069
229	5997	7040
230	6017	7007
231	6041	6979
232	6064	6949
233	6085	6917
234	6109	6889
235	6136	6864
236	6155	6831
237	6179	6802
238	6203	6774
239	6221	6740
240	6243	6709
241	6263	6677
242	6282	6644
243	6303	6613
244	6324	6582
245	6344	6550
246	6366	6520
247	6386	6489
248	6413	6464
249	6436	6436
250	6462	6410
251	6483	6381
252	6506	6352
253	6529	6323
254	6552	6295
255	6574	6266
256	6596	6237
257	6620	6210
258	6642	6180
259	6666	6154
260	6688	6125
261	6711	6097
262	6734	6068
263	6756	6040
264	6785	6017
265	6813	5993
266	6837	5966
267	6861	5939
268	6883	5911
269	6906	5883
270	6928	5854
271	6950	5826
272	6971	5796
273	7000	5774
274	7024	5747
275	7046	5718
276	7071	5693
277	7094	5665
278	7114	5635
279	7134	5605
280	7156	5577
281	7179	5550
282	7197	5518
283	7219	5491
284	7242	5463
285	7268	5438
286	7290	5410
287	7316	5385
288	7340	5359
289	7368	5335
290	7391	5308
291	7411	5279
292	7432	5250
293	7458	5226
294	7488	5203
295	7506	5173
296	7524	5142
297	7543	5113
298	7567	5087
299	7588	5058
300	7607	5029
301	7627	5000
302	7648	4973
303	7671	4946
304	7689	4916
305	7709	4888
306	7731	4860
307	7752	4832
308	7778	4807
309	7803	4783
310	7823	4754
311	7847	4728
312	7872	4703
313	7894	4676
314	7914	4648
315	7938	4622
316	7962	4596
317	7978	4566
318	7998	4538
319	8017	4509
320	8039	4483
321	8056	4453
322	8078	4427
323	8099	4399
324	8121	4372
325	8145	4347
326	8176	4325
327	8203	4301
328	8227	4276
329	8249	4249
330	8275	4225
331	8296	4198
332	8318	4171
333	8342	4146
334	8365	4120
335	8388	4094
336	8408	4066
337	8430	4040
338	8451	4013
339	8473	3987
340	8500	3963
341	8531	3941
342	8551	3914
343	8573	3888
344	8596	3862
345	8620	3836
346	8641	3810
347	8664	3784
348	8686	3758
349	8707	3731
350	8730	3705
351	8752	3680
352	8774	3653
353	8800	3629
354	8827	3605
355	8851	3580
356	8877	3555
357	8904	3531
358	8929	3506
359	8951	3481
360	8974	3455
361	8995	3429
362	9022	3405
363	9053	3382
364	9074	3356
365	9099	3331
366	9120	3305
367	9142	3279
368	9165	3253
369	9192	3229
370	9215	3204
371	9238	3178
372	9261	3153
373	9285	3128
374	9304	3101
375	9330	3077
376	9353	3051
377	9376	3026
378	9396	3000
379	9420	2974
380	9443	2949
381	9462	2923
382	9482	2896
383	9507	2872
384	9529	2846
385	9555	2822
386	9579	2797
387	9603	2772
388	9623	2745
389	9648	2721
390	9669	2695
391	9694	2670
392	9717	2645
393	9738	2620
394	9762	2594
395	9787	2570
396	9809	2544
397	9831	2519
398	9854	2494
399	9881	2470
400	9901	2444
401	9928	2420
402	9946	2394
403	9970	2369
404	9990	2343
405	10013	2318
406	10036	2293
407	10057	2267
408	10077	2242
409	10099	2217
410	10120	2191
411	10141	2166
412	10158	2139
413	10179	2114
414	10201	2089
415	10221	2063
416	10245	2039
417	10264	2013
418	10285	1988
419	10307	1963
420	10327	1937
421	10348	1912
422	10364	1886
423	10386	1861
424	10403	1835
425	10421	1810
426	10444	1785
427	10463	1760
428	10485	1735
429	10509	1710
430	10536	1686
431	10552	1661
432	10573	1636
433	10596	1611
434	10617	1586
435	10639	1561
436	10658	1536
437	10678	1511
438	10693	1485
