iter	Passed	Remaining
0	17	10229
1	31	9420
2	47	9451
3	61	9124
4	72	8656
5	83	8312
6	96	8168
7	109	8109
8	121	7957
9	132	7815
10	143	7702
11	155	7603
12	166	7516
13	177	7445
14	189	7406
15	201	7350
16	213	7312
17	224	7270
18	236	7238
19	248	7212
20	260	7184
21	272	7151
22	284	7140
23	296	7121
24	308	7105
25	320	7082
26	332	7052
27	343	7025
28	355	7001
29	367	6979
30	379	6964
31	390	6934
32	402	6917
33	414	6898
34	425	6876
35	437	6852
36	448	6830
37	460	6812
38	472	6799
39	484	6782
40	495	6757
41	507	6741
42	519	6728
43	531	6714
44	542	6694
45	554	6677
46	566	6668
47	578	6649
48	589	6624
49	600	6608
50	612	6590
51	624	6576
52	635	6563
53	647	6548
54	659	6536
55	671	6522
56	682	6504
57	694	6491
58	706	6476
59	718	6465
60	730	6451
61	742	6439
62	753	6425
63	765	6413
64	777	6401
65	789	6388
66	801	6374
67	813	6363
68	824	6348
69	836	6336
70	849	6326
71	860	6310
72	871	6294
73	883	6282
74	894	6264
75	907	6253
76	918	6239
77	930	6224
78	941	6208
79	953	6198
80	965	6183
81	977	6173
82	990	6170
83	1003	6162
84	1015	6155
85	1029	6154
86	1041	6140
87	1053	6128
88	1064	6114
89	1077	6103
90	1089	6091
91	1100	6077
92	1112	6062
93	1123	6049
94	1134	6033
95	1146	6019
96	1158	6007
97	1170	5994
98	1181	5980
99	1193	5967
100	1204	5952
101	1216	5937
102	1227	5925
103	1240	5915
104	1252	5903
105	1264	5892
106	1276	5881
107	1288	5871
108	1300	5857
109	1312	5846
110	1324	5835
111	1336	5823
112	1348	5809
113	1360	5798
114	1372	5789
115	1384	5777
116	1396	5763
117	1408	5754
118	1421	5745
119	1434	5736
120	1446	5726
121	1459	5717
122	1471	5706
123	1483	5696
124	1496	5685
125	1508	5673
126	1519	5660
127	1531	5646
128	1542	5633
129	1554	5620
130	1565	5606
131	1577	5592
132	1588	5578
133	1600	5564
134	1611	5552
135	1623	5539
136	1635	5526
137	1646	5512
138	1659	5503
139	1670	5488
140	1682	5477
141	1694	5465
142	1706	5454
143	1717	5439
144	1729	5427
145	1741	5414
146	1752	5401
147	1764	5389
148	1775	5374
149	1787	5363
150	1799	5350
151	1811	5339
152	1823	5326
153	1835	5315
154	1846	5302
155	1859	5291
156	1870	5278
157	1882	5266
158	1893	5252
159	1905	5241
160	1917	5228
161	1928	5214
162	1940	5203
163	1952	5191
164	1965	5180
165	1977	5170
166	1989	5157
167	2002	5148
168	2014	5137
169	2026	5126
170	2040	5118
171	2055	5113
172	2069	5108
173	2084	5102
174	2097	5093
175	2109	5081
176	2123	5075
177	2137	5067
178	2151	5059
179	2163	5048
180	2177	5039
181	2190	5031
182	2203	5021
183	2218	5015
184	2231	5005
185	2243	4994
186	2257	4985
187	2271	4976
188	2283	4966
189	2297	4958
190	2315	4957
191	2329	4951
192	2341	4938
193	2357	4933
194	2372	4927
195	2386	4919
196	2400	4909
197	2413	4900
198	2428	4892
199	2440	4880
200	2453	4869
